slope_id,road,ic_from,ic_to,direction,kp_from,kp_to,kp_center,length_m,tiers,lat,lon
NORI_0001,新東名高速道路,新静岡,藤枝岡部,上下線共有,120.767,120.79,120.77850000000001,23.0,3,35.04153601970493,138.3779355022633
NORI_0002,新東名高速道路,新静岡,藤枝岡部,上り線,120.837,120.865,120.851,28.0,4,35.04131549175775,138.37713171218414
NORI_0003,新東名高速道路,新静岡,藤枝岡部,上下線共有,120.855,120.904,120.87950000000001,49.0,6,35.04122880146127,138.37681573953233
NORI_0004,新東名高速道路,新静岡,藤枝岡部,上下線共有,120.832,120.948,120.88999999999999,116.0,1,35.04119686293099,138.37669932855533
NORI_0005,新東名高速道路,新静岡,藤枝岡部,上り線,121.062,121.115,121.0885,53.0,6,35.04049685762602,138.3745439284439
NORI_0006,新東名高速道路,新静岡,藤枝岡部,下り線,121.035,121.17,121.10249999999999,135.0,5,35.040443106438694,138.3743939737342
NORI_0007,新東名高速道路,新静岡,藤枝岡部,上り線,121.11,121.154,121.132,44.0,4,35.04032984500825,138.37407799773868
NORI_0008,新東名高速道路,新静岡,藤枝岡部,下り線,121.182,121.256,121.219,74.0,3,35.039974199177756,138.37315879030766
NORI_0009,新東名高速道路,新静岡,藤枝岡部,上り線,121.172,121.297,121.2345,125.0,10,35.03990557542855,138.37299810292316
NORI_0010,新東名高速道路,新静岡,藤枝岡部,上下線共有,121.297,121.324,121.31049999999999,27.0,5,35.03956909769048,138.37221021639263
NORI_0011,新東名高速道路,新静岡,藤枝岡部,上り線,121.369,121.473,121.42099999999999,104.0,7,35.03907987676869,138.37106467084496
NORI_0012,新東名高速道路,新静岡,藤枝岡部,上下線共有,121.463,121.496,121.4795,33.0,3,35.038791510019124,138.37047892064982
NORI_0013,新東名高速道路,新静岡,藤枝岡部,下り線,121.554,121.696,121.625,142.0,1,35.03804402518777,138.3690434029704
NORI_0014,新東名高速道路,新静岡,藤枝岡部,上り線,121.546,121.876,121.71100000000001,330.0,16,35.03757058578769,138.36822250097157
NORI_0015,新東名高速道路,新静岡,藤枝岡部,下り線,121.722,121.901,121.8115,179.0,4,35.03697045096365,138.36730406863757
NORI_0016,新東名高速道路,新静岡,藤枝岡部,下り線,122.182,122.224,122.203,42.0,1,35.03445534879808,138.36391853746673
NORI_0017,新東名高速道路,新静岡,藤枝岡部,下り線,122.256,122.414,122.33500000000001,158.0,7,35.03349365256452,138.36291738702872
NORI_0018,新東名高速道路,新静岡,藤枝岡部,上り線,122.291,122.456,122.3735,165.0,6,35.033213157829735,138.36262538481762
NORI_0019,新東名高速道路,新静岡,藤枝岡部,上り線,122.458,122.765,122.6115,307.0,10,35.0314471636748,138.36086753016366
NORI_0020,新東名高速道路,新静岡,藤枝岡部,下り線,122.568,122.678,122.62299999999999,110.0,5,35.031361410564266,138.36078321360097
NORI_0021,新東名高速道路,新静岡,藤枝岡部,下り線,122.692,122.896,122.794,204.0,5,35.03008629909459,138.359529462973
NORI_0022,新東名高速道路,新静岡,藤枝岡部,上り線,122.765,122.906,122.8355,141.0,5,35.02977506123272,138.35922794043486
